Coordinates,Stop,Address,Special Instructions
"44.714042,-71.173832",Androscoggin in Errol,,On Route 16 a ~7.7 miles south of ERROL on the Androscoggin River - look for a pull off at a bridge on the left. A group of trippees with their bags should be sitting here ready to be picked up.
"44.371609,-71.289601",Appalachia Trailhead,Appalachia Trailhead,"The Appalachia Trail head is located in a large parking lot--usually with a lot of cars. There is a large lake, Lake Durand, located on the opposite side of the road."
"43.951296, -71.964040",Armington Cabin,"690 Cape Moonshine Road, Piermont, NH 03779","Driveway enterance has a small orange sign at its end that says ""no camping,"" just before a big open field and Camp Walt Whitman. Do NOT drive down the small driveway"
"43.950267,-71.939139",AT crossing 25C,,The drop-off is where a huge set of power lines cross the road. There are hiker signs. You'll pull-off on the right if you are coming from the South and left if you are coming from the North.
"43.91643894433526,-71.96431824085985",Atwell Hill,"Atwell Hill Trailhead, Wentworth, NH 03282","On gravel road, there will be a small pull off to the left and trail signs on either side of the road."
"43.89836318978597,-72.04724704735291",Baker Road,11 Baker Road Orford NH 03777,"Drop off at intersection of 25A and baker road, a dirt road to the right if you're coming from Orford. Pull into the dirt road."
"43.69025,-72.1549167",Baum Cabin,"93 Goss Rd, Enfield, NH",
"44.044353,-71.792144",Beaver Brook,Beaver Brook,"From WARREN, NH (and Rt. 25) take Rt. 118 North until you hit Rt. 112 at a T intersection. Take a left to go N on Rt. 112 for ~ 3 miles until you see a parking lot on your left. The Appalachian Trail crosses here as well."
"43.996667,-72.122665",Bradford Boat Launch,Bradford Boat Launch,Before a large white church on right and at the Bradford Golf Club sign turn right and descend down to the river through playing fields.
"43.649492,-71.877912",Cardigan AMC Lodge,"774 Shem Valley Rd, Alexandria, NH 03222","The turn from Washburn onto Mt. Cardigan road is a hairpin. If it's too tight, continue straight on Washburn and take your first right for a turnaround. The last 1.5 miles of Mt. Cardigan road are dirt, and has some steep sections. There is a turnaround at the lodge."
"43.645140, -71.943722",Cardigan Parking Lot,,Stop at the intersection where Cardigan Mountain road turns left and Burnt Hill road goes straight. Use this intersection to turn around.
"44.35786,-71.34403",Castle Ridge Trail,,"The drop off is in a parking lot with a trailhead for CASTLE RIDGE and/or ISRAEL RIDGE. Make sure not to drop off in the Appalachia Parking Lot (AMC lot), which is a very large lot further down Rt. 2 East."
"43.68658530261051, -72.50017578580787",Cloudland Road,Cloudland Road,"After a half mile take a left onto Cloudland Rd. before the cemetery. 3.4 miles later the trailhead is on your right. It's easy to miss, so look for the Tree Farm sign. The trailhead is there."
"43.79415085076522,-71.93304842938855",D Acres,"218 Streeter Woods Rd, Dorchester, NH 03266",
"43.736575, -72.251082",Dartmouth Organic Farm,,"If possible, pull off on the farm side of the road to prevent the need for trippees to cross the road."
"43.787875, -72.100206",Dartmouth Skiway Lodge,"Dartmouth Skiway, 39 Grafton Turnpike, Lyme Center, NH 03769","Please pull up directly in front of the Skiway Lodge. If you are the first bus arriving, please pull forward to allow space for up to two buses behind you. If you are not the first bus arriving, please let students out directly behind the bus in front of you. Please be sure you are not blocking the Grafton Turnpike."
"43.790531,-72.101137",Dartmouth Skiway Parking Lot,,Staging area 1/4 mile before the lodge
"43.623401,-72.133675",Dartmouth Yacht Club,"142 Shaker Blvd, Enfield, NH 03748","Look for a tree with ""142"" and ""Dartmouth Sailing Facility"" signs on it"
